SeUrdu	Urdu	Turk_Translation_1	Turk_Translation_2	Turk_Translation_3	Turk_Translation_4	WorkerID_1	WorkerID_2	WorkerID_3	WorkerID_4
bbc_urd_20090102.0020__1	فرانس کی تجویز کی حمایت	defending the thinking of France.	Supporting the French proposal	France suggestion was appriciatable.	France has supported the proposal.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__2	کمیٹی کا اجلاس جمعہ کے روز پارلیمنٹ ہاؤس میں کمیٹی کے چیئرمین مشاہد حسین سید کی سربراہی میں ہوا جس میں حکو مت کو یہ تجویز دی گئی کہ وہ امدادی اشیاء کے علاوہ تمام سیاسی جماعتوں کے نمائندوں کا ایک پارلیمانی وفد فلسطین بھیجے۔	The meeting of commattee was held on Friday in parliment house in the control of Mushahid Hussain Syed in that it was suggested that he send helping things and representatives parties and a parlenani persons to Falaatin.	The meeting of the committee took place in the parliament house under the chairmanship of the committee chairman Mushahid Husain Syed, in which they proposed to the government to send a delegation, with representatives of all political parties apart from humanitarian aid to Palestine.	When commity's meeting was set up in the parliment house the chairman Mushahid hussain syeed of the commity in his presence the suggestion was given to the government,not only with the help of donating thinks but also with all the political group to send to the parliment of Paliestien.	The Chairman of the Committee of the Summit, Mushahid Hussain Syed said in the Committee meeting on Friday at the Parliament House about the proposal on the relief goods to Palestine and that a Parliamentary delegation has been sent.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__3	اجلاس کے بعد میڈیا کے نمائندوں سے گفتگو کرتے ہوئے مشاہد حسین سید نے کہا کہ کمیٹی نے فرانس کی طرف سے دی جانے والی تجویز کا خیرمقدم کیا ہے جس میں کہا گیا ہے کہ اسرائیل فوری طور پر جنگ بندی  کرے اور اس کے علاوہ غزہ میں متاثرہ افراد کے لیے امدادی کاموں کی اجازت دے۔	After the meeting Mushahid Hussain said talking with media representatives that the commettee said welcome the suggest by France in which it was called that Israel stop the war and with this give permission to help in helping works for injured persons in Ghaza.	After the meeting, speaking to representatives of the press, Mushahid Husain Syed said that the committee welcomed the proposal given by France, in which it was stated that Israel calls an immediate ceasefire and allow humanitarian work among the affected people of Gaza.	After the meeting while talking to one of the member Mushahid hussain sayeed told by the side of France suggestion was accepted,in which it is said that the Israial's should stop the war immediatly,besides all this the people who are in the cave should be permitted to do some work.	After the meeting, Mushahid Hussain Syed said to the representatives of media that the Committee at France has welcomed the proposal for the relief work for the affected people in the Gaza Strip.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__4	انہوں نے اسرائیل کی طرف سے فسلطینیوں پر حملے کو انسانیت کے خلاف جرم قرار دیتے ہوئے کہا کہ تمام ممالک کو ان حملوں کی مذمت کرنی چاہیے	He named the attacks by Israel on Israel attacks the criminal against humanity and said that all countries should dispraise these attacks of Israel.	Calling the Israeli attacks on Palestine, a crime against humanity, he said that all countries should derogate these attacks.	On behalf of Israil the attack on paliestien was declared as the crime on humanity, they said that all the countries should help.	He said that the Israeli attack is a crime on humanity and that all the countries should condemn the attacks.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__5	مشاہد حسین نے دنیا کے ممالک کے دوہرے معیار کو تنقید کا نشانہ بناتے ہوئے کہا کہ جو لوگ دہشت گردی کے خلاف بات کرتے ہیں لیکن وہ اب اسرائیل کی طرف سے فلسطینیوں پر ہونے والے حملوں پر کیوں خاموش ہیں۔	Mushahid Hussain said criticizing the second standard of the world that the people whom talk against terrorism but they are quite of Israel at attacks on Falastin.	Mushahid Husain made the double standards of the countries of the world a target of his attack, and said that why are those who speak against terrorism, quiet about the Israeli attacks on Palestine?	Mushahid hussain said that all the countries gives their opinion on terraisiom but attack of Israil on paliestien why all are quiet.	Mushahid Hussain while criticizing the world to double standards said that the people should be against terrorism, but they are still against the Palestinians in the attacks.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__6	خارجہ امور کے بارے میں سینیٹ کی قائمہ کمیٹی کے چیئرمین نے فسلطین کے مسلے پر اُمت مسلہ کے لیڈروں کے سردمہر روئیے کو بھی تنقید کا نشانہ بنایا۔	The chairman of commettee for external matters criticized the slow action of leaders.	The chairman of the standing committee of external affairs in the senate also targeted the leaders of Muslim nation who were taking a quiet stance on the matter of Palestine.	The chairman of the commiety said the paliestien's matter Saddam's brother Tanfeed was made target.	The foreign affairs Minister in the Senate Standing Committee Chairman and the leaders of the Muslim Ummah were also criticized.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__7	انہوں نے کہا کہ کمیٹی نے اس اُمید کا اظہار کیا ہے کہ امریکہ کے نومنتخب صدر بارک اُبامہ اپنی حکومت کے پہلے ایک سو دنوں کے دوران مسلم اُمہ سے خطاب کریں گے تاکہ امریکہ اور مسلم اُمہ کے درمیان پیدا ہونے والی خلیج کو ختم کیا جاسکے۔	He said that the commettee has expressed this hope that the new elected president of America obama will deliver speech to Muslim Ummah due to abolish the clash between America and Muslim Umma.	He said that the committee expressed hope that the newly elected American President, Barack Obama would speak to the Muslim nation, within his first 100 days of his government, to bridge the gulf forming between American and the Muslim nation.	They said that the commiety has said that America's prime minister Barack Obama before100 days his government of set up, he will speak to the muslim people to erase and end the misunderstanding between muslim people and America.	He said that the Committee expressed hope that the newly elected President of the United States Barak will address the Muslim Ummah in his first one hundred days.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__8	مشاہد حسین سید نے کہا کہ مسلم اُمہ اور مغرب کے درمیان پیدا ہونے والے خلاء کو پُر کرنے کے لیے نہ صرف ہنگامی اقدامات کیے جائیں بلکہ کشمیر اور فلسطین جیسے دیرینہ مسائل حل کیے جائیں۔	Mushahid Hussain said that to decrease the clash between Muslim Umma and West there should be emergency undertakes but the old issues of Kashmir and Falastin should be solved.	Mushahid Husain Syed said that the gap formed between Muslim nation and the West should be filled by taking not only sudden steps but also by solving long standing issues like that of Kashmir and Palestine.	Mushahid hussain sayeed said that the arising misunderstanding between muslim and western people will be seen and decided.Kashmir and paliestien problem will be solved.	Mushahid Hussain Syed said that Muslims and the West would give not only the emergency steps for Kashmir but also for the long standing problems like Palestine.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__9	خارجہ امور کے وزیر مملکت ملک عماد خان نے کمیٹی کو بتایا کہ وہ اسلامی ملکوں کی تنظیم کے وزراء خارجہ کے اجلاس میں شرکت کے لیے سعودی عرب جا رہے ہیں۔	The external matter prime minister Malik Imad Jan said that the external ministers of Islamic countries are going to Saudi Arabia to attend meeting.	The minister of foreign affairs, Malik Imad told the committee that he was going to Saudi Arabia to attend the meeting of the foreign ministers of the governments of Islamic countries.	Malik imdad khan the ex minister said to the commiety that he will be attending the confrence of THE Islamic countries which is held at Saudi Arabia.	Imaduddin Khan, the Minister of External Affairs and the state of the committee said that Saudi Arabia attended the meeting for the foreign ministers of the Islamic countries of the Organization.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
bbc_urd_20090102.0020__10	یہ ہنگامی  اجلاس  اسرائیل کی طرف سے فسلطین پر ہونے والے حملوں  کے نتیجے میں طلب کیا گیا ہے۔ انہوں نے کہا کہ فلسطین کے مسلے سے باخبر ہے اور اس ضمن میں حکومت دوسرے ملکوں کے لیڈروں کے ساتھ رابطے میں ہے۔	This emergency meeting is called on Israelian attacks on Falastin.He said that it knows about the issue of Falastin and the govt. is connecting other countries for this issue.	This sudden meeting was called as a result of Israeli attacks on Palestine. He said that he was aware of the Palestinian matter and at present, the government was in contact with the premiers of other countries.	Failiour of the meeting Israil's attack on paliestien has requested that the peliestien's matter are unknown and the other country is trying to be in contact.	The emergency meeting by Israel as the result of the attacks was summoned. He said that the fashion of Palestine is aware and that the Government of other countries should be in touch with leaders in this regard.	a353ocl6lm6m4o	a3dd3acpmvdvca	a2dsltew8ffmbv	a1aczgd5azz3r7
